state_abbr,year,state,expanded_medicaid,expansion_year,trump_2024,fips_state,total_plan_selections,avg_monthly_premium,avg_premium_after_aptc,pct_with_aptc,medicaid_chip_enrollment,uninsured_rate,total_population,total_uninsured,marketplace_yoy_change,marketplace_yoy_pct,growth_since_2020_pct
GA,2021,Georgia,True,2024.0,True,13,517113.0,583.0,136.0,87.6,2305389.0,12.63,10600385.0,1338922.0,53203.0,11.5,11.5
GA,2022,Georgia,True,2024.0,True,13,701135.0,530.0,105.0,91.6,2485394.0,11.67,10718050.0,1251216.0,184022.0,35.6,51.1
GA,2023,Georgia,True,2024.0,True,13,879084.0,551.0,96.0,93.3,2151282.0,11.39,10832829.0,1233349.0,177949.0,25.4,89.5
GA,2024,Georgia,True,2024.0,True,13,1305114.0,583.0,75.0,95.6,1961283.0,11.96,10988839.0,1314223.0,426030.0,48.5,181.3
GA,2025,Georgia,True,2024.0,True,13,1510852.0,620.0,74.0,92.6,1855242.0,,,,205738.0,15.8,225.7
GA,2026,Georgia,True,2024.0,True,13,1324295.0,777.0,164.0,89.1,,,,,-186557.0,-12.3,185.5
HI,2020,Hawaii,True,2014.0,False,15,20073.0,632.0,223.0,78.3,395172.0,,,,,,0.0
HI,2021,Hawaii,True,2014.0,False,15,22903.0,624.0,191.0,79.8,437335.0,3.94,1381713.0,54462.0,2830.0,14.1,14.1
HI,2022,Hawaii,True,2014.0,False,15,22327.0,642.0,164.0,83.1,459261.0,3.53,1383700.0,48833.0,-576.0,-2.5,11.2
HI,2023,Hawaii,True,2014.0,False,15,21645.0,655.0,206.0,82.3,469301.0,3.22,1378162.0,44333.0,-682.0,-3.1,7.8
HI,2024,Hawaii,True,2014.0,False,15,22170.0,696.0,248.0,82.4,398504.0,3.46,1386888.0,47926.0,525.0,2.4,10.4
HI,2025,Hawaii,True,2014.0,False,15,24606.0,729.0,252.0,83.1,388083.0,,,,2436.0,11.0,22.6
HI,2026,Hawaii,True,2014.0,False,15,23380.0,778.0,372.0,71.4,,,,,-1226.0,-5.0,16.5
IA,2020,Iowa,True,2014.0,True,19,54586.0,823.0,111.0,88.0,750018.0,,,,,,0.0
IA,2021,Iowa,True,2014.0,True,19,59228.0,656.0,168.0,85.0,805021.0,4.8,3151182.0,151285.0,4642.0,8.5,8.5
IA,2022,Iowa,True,2014.0,True,19,72240.0,666.0,135.0,89.2,850906.0,4.46,3153337.0,140796.0,13012.0,22.0,32.3
IA,2023,Iowa,True,2014.0,True,19,82704.0,656.0,147.0,89.6,710281.0,5.02,3162048.0,158750.0,10464.0,14.5,51.5
IA,2024,Iowa,True,2014.0,True,19,111423.0,585.0,132.0,89.4,681397.0,5.45,3195952.0,174113.0,28719.0,34.7,104.1
IA,2025,Iowa,True,2014.0,True,19,136833.0,555.0,141.0,88.2,665421.0,,,,25410.0,22.8,150.7
IA,2026,Iowa,True,2014.0,True,19,123304.0,615.0,235.0,76.1,,,,,-13529.0,-9.9,125.9
ID,2020,Idaho,True,2020.0,True,16,78431.0,,,76.4,376688.0,,,,,,0.0
ID,2021,Idaho,True,2020.0,True,16,68832.0,,,78.0,409836.0,8.83,1879248.0,165929.0,-9599.0,-12.2,-12.2
ID,2022,Idaho,True,2020.0,True,16,73359.0,508.0,214.0,64.0,452903.0,8.19,1911951.0,156638.0,4527.0,6.6,-6.5
ID,2023,Idaho,True,2020.0,True,16,79927.0,481.0,132.0,84.6,338380.0,8.85,1938023.0,171601.0,6568.0,9.0,1.9
ID,2024,Idaho,True,2020.0,True,16,103783.0,462.0,121.0,86.4,319959.0,9.19,1974726.0,181552.0,23856.0,29.8,32.3
ID,2025,Idaho,True,2020.0,True,16,117373.0,482.0,129.0,85.8,311257.0,,,,13590.0,13.1,49.7
ID,2026,Idaho,True,2020.0,True,16,120426.0,509.0,202.0,76.5,,,,,3053.0,2.6,53.5
IL,2020,Illinois,True,2014.0,False,17,292945.0,636.0,224.0,82.4,3317815.0,,,,,,0.0
IL,2021,Illinois,True,2014.0,False,17,291215.0,625.0,244.0,81.4,3555289.0,7.0,12495329.0,875099.0,-1730.0,-0.6,-0.6
IL,2022,Illinois,True,2014.0,False,17,323427.0,643.0,204.0,86.8,3788584.0,6.55,12413406.0,813235.0,32212.0,11.1,10.4
IL,2023,Illinois,True,2014.0,False,17,342995.0,673.0,196.0,88.2,3664724.0,6.16,12378557.0,762564.0,19568.0,6.1,17.1
IL,2024,Illinois,True,2014.0,False,17,398814.0,676.0,189.0,89.2,3231378.0,6.87,12537506.0,860898.0,55819.0,16.3,36.1
IL,2025,Illinois,True,2014.0,False,17,465985.0,674.0,190.0,89.7,3000140.0,,,,67171.0,16.8,59.1
IL,2026,Illinois,True,2014.0,False,17,448568.0,816.0,230.0,85.2,,,,,-17417.0,-3.7,53.1
IN,2020,Indiana,True,2015.0,True,18,140931.0,544.0,270.0,68.7,1664654.0,,,,,,0.0
IN,2021,Indiana,True,2015.0,True,18,136593.0,583.0,281.0,70.4,1865268.0,7.52,6707875.0,504396.0,-4338.0,-3.1,-3.1
IN,2022,Indiana,True,2015.0,True,18,156926.0,564.0,193.0,81.2,2005884.0,6.97,6737570.0,469462.0,20333.0,14.9,11.3
IN,2023,Indiana,True,2015.0,True,18,185354.0,570.0,187.0,84.2,1861409.0,6.85,6764280.0,463612.0,28428.0,18.1,31.5
IN,2024,Indiana,True,2015.0,True,18,295772.0,532.0,129.0,89.1,1785338.0,7.51,6828838.0,512807.0,110418.0,59.6,109.9
IN,2025,Indiana,True,2015.0,True,18,359240.0,503.0,120.0,89.8,1511819.0,,,,63468.0,21.5,154.9
IN,2026,Indiana,True,2015.0,True,18,300049.0,623.0,222.0,83.4,,,,,-59191.0,-16.5,112.9
KS,2020,Kansas,True,2020.0,True,20,85837.0,638.0,171.0,85.5,429274.0,,,,,,0.0
KS,2021,Kansas,True,2020.0,True,20,88627.0,628.0,180.0,85.8,466682.0,9.16,2878792.0,263730.0,2790.0,3.3,3.3
