year,state_abbr,platform,total_plan_selections,new_consumers,avg_monthly_premium,avg_premium_after_aptc,aptc_consumers,aptc_avg_amount,aptc_avg_premium_after,csr_consumers,total_reenrollees,age_0_17,age_18_25,age_26_34,age_35_44,age_45_54,age_55_64,age_65_plus,male,female,premium_lte_10,pct_with_aptc
2021,GA,HC.gov,517113.0,138008.0,583.0,136.0,452914.0,511.0,81.0,328513.0,379105.0,37893.0,61543.0,80469.0,89187.0,112492.0,127144.0,8385.0,226598.0,290515.0,,87.6
2021,HI,HC.gov,22903.0,4981.0,624.0,191.0,18277.0,543.0,114.0,8143.0,17922.0,1124.0,1421.0,3159.0,4506.0,5110.0,7169.0,414.0,9889.0,13014.0,,79.8
2021,IA,HC.gov,59228.0,11285.0,656.0,168.0,50357.0,575.0,102.0,15374.0,47943.0,3004.0,4211.0,9291.0,9501.0,10355.0,22271.0,595.0,27305.0,31923.0,,85.0
2021,ID,SBM,68832.0,11679.0,,,53710.0,,,16582.0,57153.0,13168.0,6083.0,9952.0,10696.0,10137.0,18072.0,134.0,31734.0,36508.0,,78.0
2021,IL,HC.gov,291215.0,56806.0,625.0,244.0,237164.0,467.0,178.0,118405.0,234409.0,18385.0,22349.0,50067.0,46276.0,55449.0,94021.0,4668.0,136604.0,154611.0,,81.4
2021,IN,HC.gov,136593.0,24397.0,583.0,281.0,96159.0,428.0,172.0,52672.0,112196.0,14106.0,10035.0,18414.0,20711.0,24416.0,47807.0,1104.0,62688.0,73905.0,,70.4
2021,KS,HC.gov,88627.0,18547.0,628.0,180.0,76072.0,522.0,116.0,38235.0,70080.0,8218.0,8509.0,14582.0,14802.0,14888.0,26785.0,843.0,40349.0,48278.0,,85.8
2021,KY,HC.gov,77821.0,14744.0,605.0,199.0,61846.0,511.0,119.0,27863.0,63077.0,8210.0,5466.0,11041.0,12052.0,14097.0,26218.0,737.0,35256.0,42565.0,,79.5
2021,LA,HC.gov,83159.0,15992.0,741.0,189.0,73054.0,628.0,126.0,40627.0,67167.0,6104.0,5742.0,12496.0,13624.0,16189.0,27978.0,1026.0,36174.0,46985.0,,87.8
2021,MA,SBM,294097.0,32597.0,435.0,228.0,214301.0,285.0,150.0,189111.0,261500.0,10430.0,27283.0,66016.0,60240.0,58057.0,68354.0,3717.0,134722.0,159375.0,,72.9
2021,MD,SBM,166038.0,26497.0,439.0,182.0,121743.0,373.0,100.0,47675.0,139541.0,8313.0,14950.0,31732.0,28716.0,31774.0,43296.0,7257.0,73198.0,92840.0,,73.3
2021,ME,HC.gov,59738.0,9680.0,558.0,187.0,48179.0,459.0,120.0,19039.0,50058.0,7782.0,3717.0,8713.0,8779.0,10377.0,20077.0,293.0,27677.0,32061.0,,80.7
2021,MI,HC.gov,267070.0,50614.0,480.0,192.0,216309.0,356.0,143.0,95743.0,216456.0,31516.0,20100.0,38597.0,38544.0,47111.0,88524.0,2678.0,125965.0,141105.0,,81.0
2021,MN,SBM,112804.0,21720.0,439.0,302.0,56059.0,276.0,275.0,9945.0,91084.0,12953.0,8043.0,15684.0,16099.0,17933.0,41469.0,623.0,54901.0,57903.0,,49.7
2021,MO,HC.gov,215311.0,45886.0,639.0,172.0,181692.0,553.0,102.0,117429.0,169425.0,14693.0,20419.0,34719.0,36172.0,40258.0,67446.0,1604.0,97933.0,117378.0,,84.4
2021,MS,HC.gov,110966.0,29323.0,622.0,110.0,104656.0,543.0,81.0,83836.0,81643.0,4475.0,14332.0,16604.0,19847.0,23813.0,30850.0,1045.0,42973.0,67993.0,,94.3
2021,MT,HC.gov,44711.0,8002.0,571.0,196.0,35789.0,469.0,120.0,12170.0,36709.0,4312.0,3110.0,7504.0,7731.0,7446.0,14379.0,229.0,21256.0,23455.0,,80.0
2021,NC,HC.gov,535803.0,121392.0,633.0,125.0,479863.0,567.0,82.0,261799.0,414411.0,47196.0,53665.0,88648.0,90692.0,107730.0,142924.0,4948.0,235598.0,300205.0,,89.6
2021,ND,HC.gov,22709.0,4283.0,485.0,135.0,18926.0,420.0,84.0,6645.0,18426.0,5508.0,1762.0,3618.0,3393.0,2866.0,5455.0,107.0,11097.0,11612.0,,83.3
2021,NE,HC.gov,88688.0,13425.0,722.0,95.0,82307.0,676.0,54.0,24221.0,75263.0,14500.0,8588.0,14433.0,14809.0,13737.0,22129.0,492.0,42577.0,46111.0,,92.8
2021,NH,HC.gov,46670.0,8926.0,446.0,236.0,29861.0,328.0,148.0,15261.0,37744.0,3608.0,3476.0,7517.0,6653.0,8593.0,16473.0,350.0,21854.0,24816.0,,64.0
2021,NJ,SBM,269560.0,75749.0,575.0,228.0,212921.0,439.0,163.0,128822.0,193811.0,19366.0,23286.0,44995.0,40374.0,53985.0,81114.0,6440.0,125147.0,144413.0,,79.0
2021,NM,HC.gov,42984.0,9518.0,463.0,195.0,31070.0,371.0,117.0,13744.0,33466.0,3083.0,2690.0,5269.0,6076.0,8311.0,16734.0,821.0,19548.0,23436.0,,72.3
2021,NV,SBM,81903.0,25297.0,,,69488.0,,,40388.0,56606.0,11147.0,5957.0,11507.0,12819.0,15022.0,23640.0,1801.0,38238.0,43665.0,,84.8
2021,NY,SBM,215889.0,34081.0,656.0,256.0,112013.0,326.0,,41094.0,181808.0,9506.0,15880.0,37615.0,35682.0,43641.0,71001.0,2564.0,105403.0,110486.0,,51.9
2021,OH,HC.gov,201069.0,41091.0,524.0,243.0,148972.0,379.0,163.0,61594.0,159978.0,22769.0,13803.0,29061.0,27203.0,33630.0,72831.0,1772.0,92676.0,108393.0,,74.1
2021,OK,HC.gov,171551.0,33721.0,623.0,106.0,156190.0,568.0,61.0,95262.0,137830.0,20298.0,18163.0,27885.0,30970.0,30713.0,42087.0,1435.0,77184.0,94367.0,,91.0
2021,OR,HC.gov,141089.0,26330.0,562.0,246.0,98805.0,451.0,150.0,41368.0,114759.0,10895.0,9022.0,22954.0,25249.0,26772.0,44584.0,1613.0,63357.0,77732.0,,70.0
2021,PA,SBM,337722.0,75234.0,622.0,184.0,287264.0,515.0,131.0,131625.0,262488.0,17539.0,24098.0,53593.0,52094.0,64278.0,121759.0,4361.0,157036.0,180686.0,,85.1
2021,RI,SBM,31174.0,4588.0,455.0,175.0,24714.0,354.0,120.0,11863.0,26586.0,1479.0,2519.0,5573.0,5693.0,6321.0,8905.0,684.0,14421.0,16753.0,,79.3
2021,SC,HC.gov,230050.0,54379.0,583.0,128.0,205971.0,508.0,85.0,87541.0,175671.0,19053.0,21956.0,36288.0,36773.0,46214.0,67936.0,1830.0,101035.0,129015.0,,89.5
